S1MEAN,S2MEAN,S3MEAN,S4MEAN,S5MEAN,S1MEDIAN,S2MEDIAN,S3MEDIAN,S4MEDIAN,S5MEDIAN,S1STDEV,S2STDEV,S3STDEV,S4STDEV,S5STDEV,S1AVEDEV,S2AVEDEV,S3AVEDEV,S4AVEDEV,S5AVEDEV,S1MIN,S2MIN,S3MIN,S4MIN,S5MIN,S1MAX,S2MAX,S3MAX,S4MAX,S5MAX,S1SKEW,S2SKEW,S3SKEW,S4SKEW,S5SKEW,S1KURT,S2KURT,S3KURT,S4KURT,S5KURT,ASA,S1MEAN2,S2MEAN2,S3MEAN2,S4MEAN2,S5MEAN2,S1MEDIAN2,S2MEDIAN2,S3MEDIAN2,S4MEDIAN2,S5MEDIAN2,S1STDEV2,S2STDEV2,S3STDEV2,S4STDEV2,S5STDEV2,S1AVEDEV2,S2AVEDEV2,S3AVEDEV2,S4AVEDEV2,S5AVEDEV2,S1MIN2,S2MIN2,S3MIN2,S4MIN2,S5MIN2,S1MAX2,S2MAX2,S3MAX2,S4MAX2,S5MAX2,S1SKEW2,S2SKEW2,S3SKEW2,S4SKEW2,S5SKEW2,S1KURT2,S2KURT2,S3KURT2,S4KURT2,S5KURT2,SUBJECT,ACTION,TRIAL
-365.2272819,-75.24770725,119.5474674,-211.7768425,-138.7714021,-133,-68.604,505,-148.675,-136,332.4470952,533.6243655,782.6348368,356.5526027,196.9920834,317.6188991,455.8498685,745.8451116,313.1262796,141.1489374,-878,-744.13,-939.14,-613.93,-779,-40,732.34,1277,818,78.778,-0.509961734,0.205357361,-0.304023572,0.261958152,-1.05319236,-1.555558568,-1.31535643,-1.690232288,-1.018781282,0.239698575,466.3171827,365.2272819,466.9441543,769.7546051,330.2588024,167.7777813,133,547,700,238,136,332.4470952,268.8928456,184.5999808,250.7688895,172.947322,317.6188991,247.8757539,165.5230623,240.7204345,128.0079277,40,21.097,470.64,6,0,878,744.13,1277,818,779,0.509961734,-0.360084209,0.018426508,0.013567751,1.39816477,-1.555558568,-1.506400862,-1.345937818,-1.77726368,0.915867413,1,3,1
-32.47876628,-114.9848779,-526.3524022,-183.4423728,-136.4342898,-50.8305,-109.25,-935,-148,-136,92.59684164,550.2964272,778.9431153,395.2046979,191.3522719,77.75385583,474.6270024,616.4163957,336.4180656,140.7419421,-127,-753,-1058,-612,-606,164,723,1272,763,83,0.728623763,0.24198484,1.425204992,0.367606298,-0.882941711,-0.785349934,-1.362030014,0.144211274,-1.062205316,-0.36477361,586.1643654,84.25033372,491.303588,932.227837,358.8794533,166.9938189,115,666,966,431,136,50.28654126,273.1039518,120.5649908,246.999819,165.3472437,46.1670633,263.5994045,91.6101095,233.1102255,124.9071208,0,28,699,1,0,164,753,1272,763,606,-0.625507807,-0.444507953,-1.142766904,-0.24991474,1.216223069,-1.174394255,-1.684630946,-0.186158167,-1.672968377,0.103519522,1,3,2
-54.89623843,-313.5391886,-222.5998256,-171.8084219,-140.4424358,-64,-227,-674,-145,-136.505,543.7069425,295.6564246,838.9180707,417.7103226,201.0622034,403.1545255,267.6547541,804.3328285,347.7664582,144.8633806,-961,-757.35,-1064,-631,-756,774,110,989,975,147,-0.280964354,-0.015615708,0.411522577,0.493028156,-1.023614387,-0.650795661,-1.461283352,-1.674437427,-0.817189876,0.102344668,447.3402662,412.9299751,354.5524413,848.8527936,371.3200834,171.3679239,166,227,975,482.435,136.68,357.8547794,244.9537835,180.4003087,257.0658804,175.4414124,341.6396356,234.9317248,174.0244128,242.893497,130.7410211,21,95,530,0,0,961,757.35,1064,975,756,0.486666813,0.373319316,-0.463961102,-0.243313985,1.374242033,-1.567682338,-1.709115916,-1.657308849,-1.636662363,0.740393928,1,3,3
246.4023288,140.1010019,-63.23886228,-187.3035112,-130.4975106,118.38,135,-17,-142,-137,428.286123,295.3831301,860.5762637,393.5486452,182.7311393,327.882318,236.9568508,775.6769179,335.8908081,135.7554282,-131,-198,-1040.7,-617,-977,1070,660,1005,1085,82,1.198853605,0.612894796,-0.01546564,0.401739539,-0.904530001,-0.149104782,-0.843076397,-1.716163126,-0.822172984,0.094483747,369.3964776,318.0114739,260.3052573,769.816634,355.3530846,161.8768594,123.5,191,1000,320.28,137,378.1483464,197.7423347,389.5448829,252.2935498,155.6039891,299.23866,154.6657965,302.6395912,234.5139245,114.6792833,41.948,94,5,4,0,1070,660,1040.7,1085,977,1.423371155,1.33994139,-1.280799811,-0.098485026,1.318180643,0.145927249,0.041788422,-0.097318915,-1.575251475,0.962323622,1,3,4
39.17707542,54.60861651,118.8375872,-171.8543111,-135.5431729,41,62.943,300,-143,-134,37.70088876,615.1529585,841.4089608,416.0538648,199.6404171,27.18300797,421.8464422,776.2625651,344.2615643,141.3453124,-17.923,-964,-1048,-615,-1387,104,978.12,1019,1089,81,0.379187416,-0.225988108,-0.226528308,0.578363291,-1.288254052,-0.577744166,-0.522123971,-1.644418487,-0.445332581,1.879160386,257.9635097,44.83198049,438.3159036,800.0300826,366.9491411,167.8957014,41,182,980,408.25,134,30.75898974,434.9752108,286.0215401,260.6599161,173.3078079,23.14838614,422.708688,256.4192405,240.0878188,124.3630253,10.961,12.839,289.94,5,1,104,978.12,1048,1089,1387,1.075551582,0.362071227,-0.831639873,-0.05278704,1.776540005,-0.251758127,-1.811327806,-0.915361431,-1.320216273,3.598320195,1,3,5
936.566007,237.5837748,-59.74541178,-152.0164665,-147.1180697,1041,179.5,80,-154,-122,583.4378198,636.4710875,406.9568283,449.4099005,236.903233,455.8050229,475.7491885,358.6481209,372.036682,181.778009,-661,-2134.8,-1050,-740,-961,2119.2,2095.4,603,1074,839,-0.299648158,0.052572322,-0.485488769,0.540218298,-0.297705635,-0.445277575,1.033371268,-1.22385301,-0.765802413,0.347398663,990.9208758,956.4385055,503.1586568,347.12398,403.9670182,208.4052041,1041,310,305,519,147,550.2379982,456.3693149,220.5196899,248.6317961,185.2648729,431.4595969,367.0081401,189.1443121,229.9055358,149.1776044,0,0,0,0,0,2119.2,2134.8,1050,1074,961,-0.140225225,1.286347816,0.362946825,-0.155242108,1.095952601,-0.547784687,1.332250769,-0.891376459,-1.304459471,0.379380474,1,4,1
969.1618323,223.375187,-64.02011067,-167.8539733,-148.3792951,1057,146.53,71.8625,-172,-126,605.8543875,647.6992615,428.9697096,454.2735354,250.1198133,467.2895324,481.2037818,375.9055646,368.2941277,182.6809635,-649,-2259.9,-1466,-924.5,-1266,2182.9,2400.5,970,1105.4,954,-0.397775257,0.004197116,-0.40583958,0.666263758,-0.567126713,-0.421768427,1.179954866,-1.119937973,-0.290024942,1.376429729,1021.499426,995.7603397,497.358622,366.1508401,408.8043276,213.0427314,1057,312.13,335,421.31,147.25,561.0447592,471.1192203,232.3503182,259.5260428,197.9349782,434.9428282,378.9881025,200.4750402,231.3606124,150.1044419,0,0,0.95835,1,0,2182.9,2400.5,1466,1105.4,1266,-0.19665622,1.266278095,0.412068138,0.170063056,1.555086337,-0.599707105,1.262612377,-0.461010085,-1.078740153,2.294679304,1,4,2
998.6184806,231.6935704,-69.04009652,-164.8289419,-150.9770036,1083.9,155,82.619,-167,-127,630.8750048,682.4231621,432.3911312,457.7678021,260.3166788,492.7506681,511.1256735,374.8745243,368.5669766,194.4764819,-740.17,-2177,-1436.1,-855.22,-1226.6,2190.5,2602.7,931,1116,1073,-0.440166876,0.002102079,-0.522236213,0.678952515,-0.557244697,-0.45843774,0.931849194,-0.85785717,-0.206006129,1.204695123,1051.498907,1028.315253,532.2985205,362.3427039,401.0562961,220.115262,1085.5,370,310,439,149.45,581.5289899,489.298778,243.3124115,267.1774056,198.2236072,459.184996,392.7314232,202.3413187,242.2304766,151.912448,1,0.5,1,0,0,2190.5,2602.7,1436.1,1116,1226.6,-0.2220326,1.192996491,0.755426097,0.189351667,1.57599408,-0.71066742,0.972210489,0.368924013,-1.15611116,2.651262401,1,4,3
943.7040252,234.9194686,-54.37806493,-157.0106102,-154.7029314,1043,178.25,81.289,-160.915,-125.68,580.3328261,609.1686928,406.413203,450.6569605,245.1160756,447.3391768,456.5399142,358.5511051,370.8715959,183.4172833,-743.7,-2137.1,-1117.7,-826,-1225,2413.7,2194.6,726,1192.3,907,-0.372537212,0.132226921,-0.462290956,0.556471035,-0.467713335,-0.367816418,0.894293445,-1.254489359,-0.717789031,0.942805018,998.6524654,965.109374,485.1161116,348.3427654,407.7226155,213.7125199,1043,296.615,320.365,480,147,543.9756634,436.8721879,216.1810906,247.8798942,195.7864875,420.8264105,355.0297808,185.0862389,226.4542924,152.80634,0,0,1,0,0,2413.7,2194.6,1117.7,1192.3,1225,-0.198208785,1.27734507,0.290426721,-0.101621935,1.351116174,-0.506939145,1.344767644,-0.963105378,-1.323928852,1.374704814,1,4,4
949.8614791,236.5118828,-63.92811973,-224.5069982,-135.9793438,1046.5,171,62,-157.5,-125.54,589.2325858,631.9901146,410.8905243,347.1007342,212.2210768,453.0940875,471.5284672,359.0274386,310.0306906,166.1419574,-599.35,-2080.6,-1186,-803,-673,2158.2,2191.5,798,501.03,854,-0.373087487,0.024004564,-0.437015779,-0.007927987,0.234210269,-0.395684553,1.151793428,-1.152869376,-1.466535484,0.359897883,1015.458162,973.3533793,497.3564337,349.1059422,342.4141481,197.5285189,1046.5,313,311,238.51,146,549.5389637,455.9525821,225.7997405,231.5217479,156.5268598,424.0846286,366.7992993,192.4119742,214.8235561,132.2149035,0,0.33896,0.51871,0,0.30932,2158.2,2191.5,1186,803,854,-0.190409719,1.295165168,0.403636633,0.338634526,0.735824525,-0.519387455,1.410262376,-0.729543763,-1.496763329,-0.598208982,1,4,5
